timestamp,sender,receiver,message_type,message
2026-07-04 12:15:53,MUSKAN,ALL,NORMAL,Hello Everyone
2026-07-04 12:16:06,MUSKAN,SOWMYA,PRIVATE,Hi SOWMYA
2026-07-04 12:16:23,SREEKARI,ALL,BROADCAST,Good Morning Everyone
2026-07-04 12:17:04,MUSKAN,CSE,GROUP,Welcome Everyone
2026-07-04 19:02:38,MUSKAN,ALL,NORMAL,HELLO!
2026-07-04 19:02:47,MUSKAN,ALL,NORMAL,HOW ARE YOU ALL
2026-07-04 19:02:56,SOWMYA,ALL,NORMAL,I AM FINE
2026-07-04 19:03:07,SREEKARI,ALL,NORMAL,I AM FINE TOO
2026-07-04 19:03:54,MUSKAN,SOWMYA,PRIVATE,hi sowmya
2026-07-04 19:04:12,MUSKAN,ALL,BROADCAST,lets create a group
2026-07-04 19:04:24,SOWMYA,ALL,NORMAL,ok
2026-07-04 19:04:29,SREEKARI,ALL,NORMAL,yes
2026-07-04 19:04:49,MUSKAN,ALL,NORMAL,/create group CSE
2026-07-04 19:05:14,SOWMYA,ALL,NORMAL,YEAH OK
2026-07-04 19:07:40,MUSKAN,CSE,GROUP_CREATE,Group Created
2026-07-04 19:09:23,MUSKAN,ALL,BROADCAST,Good Evening Everyone
2026-07-04 19:10:29,MUSKAN,ALL,BROADCAST,the group CSE is been created everyone please join
2026-07-04 19:11:01,MUSKAN,CSE,GROUP_JOIN,Joined Group
2026-07-04 19:11:06,SOWMYA,CSE,GROUP_JOIN,Joined Group
2026-07-04 19:11:11,SREEKARI,CSE,GROUP_JOIN,Joined Group
2026-07-04 19:11:44,MUSKAN,CSE,GROUP,Welcome Everyone
2026-07-04 20:23:51,MUSKAN,ALL,NORMAL,HI
2026-07-04 20:24:04,MUSKAN,ALL,NORMAL,GOOD EVENING EVERYONE
2026-07-04 20:24:14,MUSKAN,ALL,NORMAL,LETS CREATE A GROUP
2026-07-04 20:24:41,MUSKAN,PROJECT,GROUP_CREATE,Group Created
2026-07-04 20:25:00,MUSKAN,ALL,BROADCAST,i request you all to join the group
2026-07-04 20:25:52,MUSKAN,PROJECT,GROUP_JOIN,Joined Group
2026-07-04 20:26:11,SOWMYA,PROJECT,GROUP_JOIN,Joined Group
2026-07-04 20:26:16,SREEKARI,PROJECT,GROUP_JOIN,Joined Group
2026-07-04 20:27:06,MUSKAN,PROJECT,GROUP,welcom everyone lets start our project planning
2026-07-04 20:27:16,SOWMYA,ALL,NORMAL,yes
2026-07-04 20:27:20,GAGANA,ALL,NORMAL,ok
2026-07-04 20:27:23,SREEKARI,ALL,NORMAL,ok
2026-07-04 20:29:54,MUSKAN,ALL,BROADCAST,did sowmya disconnect?
2026-07-04 20:30:02,SREEKARI,ALL,NORMAL,yes 
2026-07-04 20:30:19,MUSKAN,ALL,NORMAL,okay fine lets wait for her
2026-07-04 20:30:25,GAGANA,ALL,NORMAL,okay
2026-07-04 20:31:42,MUSKAN,SOWMYA,PRIVATE,HELLO SOWMYA
2026-07-04 20:32:06,MUSKAN,ALL,BROADCAST,she is back lets start our project
2026-07-04 22:13:08,MUSKAN,ALL,NORMAL,HELLO
2026-07-04 22:13:17,MUSKAN,ALL,NORMAL,HOW ARE YOU?
2026-07-04 22:13:23,FATHIMA,ALL,NORMAL,I AM FINE
2026-07-04 22:13:32,FATHIMA,ALL,NORMAL,WE SHOULD CHAT OFTEN
2026-07-04 22:13:39,MUSKAN,ALL,NORMAL,YES WE SHOULD
